,PropertyGFATotal,SiteEnergyUse(kBtu),TotalGHGEmissions,YearBuilt,NumberofBuildings,NumberofFloors,ENERGYSTARScore,distance,code_1,code_2,code_3,code_4,code_5,code_6,code_7,code_8,code_9,code_10,type_1,type_2,type_3,type_4,type_5,type_6,type_7,type_8,type_9
0,-0.18113227817359334,-0.04650621943947278,0.07920292045848014,-1.1529192025090202,-0.04707210632781032,0.9091936775314897,-0.19107708057770603,-1.067559050310993,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1,-0.10695244454079898,0.0004473251083753435,0.13488281450453024,1.0195950792558324,-0.04707210632781032,0.7818085741360078,-0.1559734177259471,-1.0139721481341564,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2,4.072374285874019,2.595532926197466,2.3113744356916954,0.1694807950869769,-0.04707210632781032,4.603361676000468,-0.7878393490576073,-1.1060989816128608,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3,-0.31405006888992865,-0.06395977136297035,0.1234385817047427,-1.1844049167374964,-0.04707210632781032,0.6544234707405258,-0.33149173198474163,-1.0825175272866367,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4,0.2460733642902909,0.2342780752868916,0.38870691737574586,0.5158236516002143,-0.04707210632781032,1.673504297904382,0.3354778621986775,-1.1437033775389376,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
6,-0.20773152330256123,-0.10582891744895571,-0.010409184518859398,-1.1844049167374964,-0.04707210632781032,0.7818085741360078,-1.3494979546857497,-1.0045682267987688,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
8,0.1892276498569124,0.21613703826550498,0.25175233927860663,-1.8770906297639711,-0.04707210632781032,1.2913489877179358,-0.7878393490576073,-0.754765749076314,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.1361811272729534,0.30881863944629884,0.6147396171594605,0.1694807950869769,-0.04707210632781032,0.7818085741360078,-1.244186966130473,-0.8810496761953974,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1.018637801323985,0.7504124996488885,0.6750675930319354,1.0825665077127846,-0.04707210632781032,2.565200021672756,-1.0335649890199197,-0.8719123602074528,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,-0.2959659156866919,-0.07198470214562915,0.17416699432734284,-1.1214334882805441,-0.04707210632781032,0.5270383673450437,-0.6123210347988128,-0.8719356475076797,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
